Fixed_asset,Current_assets,Liabilities,Net_turnover,Personal_expenses,Amortisation
6.028,13.577,13.298,64.597,2.268,0.455
16.576,50.967,42.345,172.289,5.478,1.254
4.027,40.388,37.358,265.45,3.455,0.448
4.305,20.822,18.145,82.952,2.347,0.621
2.607,4.707,5.509,15.174,0.556,0.388
26.892,53.753,50.92,192.558,8.689,2.512
50.836,141.627,139.047,653.6,27.206,7.795
24.032,44.442,38.954,89.586,6.08,1.51
18.459,81.319,68.953,150.505,10.268,2.234
23.357,114.212,104.754,289.154,9.264,3.202
6.531,13.118,13.604,34.132,2.051,1.278
8.975,37.235,23.854,114.795,7.902,1.404
45.892,181.31,152.085,703.615,35.207,5.998
35.495,106.404,88.448,283.969,16.191,4.236
9.217,110.772,77.621,559.29,2.276,0.708
11.496,44.893,42.606,143.664,2.939,0.56
56.108,93.496,88.538,311.984,15.652,4.819
37.212,97.499,79.172,274.974,13.268,3.007
27.112,116.593,97.15,324.867,12.947,2.615
6.453,17.055,12.429,49.033,3.251,0.942
9.523,15.742,17.576,83.916,3.345,1.022
3.447,11.809,9.357,28.62,2.169,0.481
6.322,15.547,13.405,34.798,1.998,1.315
0.273,2.078,1.897,4.394,0.211,0.046
15.756,70.968,55.467,250.771,7.94,2.914
2.668,24.772,22.89,77.843,2.258,0.851
1.496,2.672,1.242,6.138,0.47,0.085
17.614,56.556,38.598,136.075,10.705,2.49
17.234,45.648,39.508,189.651,8.403,1.776
281.688,434.607,348.322,963.418,56.536,14.894
307.76,226.267,276.824,1321.696,107.239,21.66
79.942,111.01,121.051,429.122,31.98,9.067
1.682,1.794,2.711,11.916,0.755,0.211
4.705,4.094,5.348,30.665,2.059,0.525
0.065,0.059,0.114,0.189,0.029,0.007
1.275,0.867,1.778,5.464,0.701,0.176
1.109,3.169,2.395,13.928,0.943,0.15
0.238,0.814,0.728,4.3,0.179,0.039
6.392,7.893,8.7,46.421,3.364,0.843
27.289,60.692,51.095,343.188,23.127,2.813
4.234,11.689,9.083,33.037,3.01,0.754
6.508,10.892,9.773,35.032,3.185,0.825
4.931,11.491,10.557,23.139,2.746,0.555
21.425,45.186,47.804,87.553,10.274,2.018
3.547,9.46,9.39,20.015,2.311,0.478
19.251,27.513,31.145,97.414,7.661,1.764
11.622,36.086,33.06,122.56,5.439,1.252
32.896,59.149,54.912,231.644,11.718,3.223
9.77,19.393,19.923,81.089,6.641,1.413
42.397,94.546,87.927,309.948,19.523,5.362
7.424,6.749,6.157,17.487,3.292,0.505
7.83,4.944,11.436,14.236,1.379,0.304
0.777,6.836,6.637,7.514,1.358,0.131
4.124,12.601,10.662,50.018,2.591,0.679
0.442,0.349,0.472,1.404,0.96,0.065
1.547,3.155,2.511,8.076,1.315,0.239
0.135,0.636,0.641,0.912,0.211,0.026
2.066,2.688,2.976,7.964,1.19,0.293
288.795,54.892,179.177,133.276,41.786,10.298
5.244,1.247,3.478,2.789,0.653,0.283
3.401,0.484,1.034,1.481,0.576,0.132
16.852,5.672,11.807,6.767,1.545,0.713
82.142,34.528,82.033,159.493,29.474,7.657
8.783,5.912,13.092,20.331,3.271,1.093
2.398,3.588,3.202,16.931,4.227,0.424
2.456,2.504,2.853,14.301,3.161,0.351
697.156,66.989,480.403,413.213,123.062,32.748
279.185,22.829,50.497,161.064,83.864,21.035
1.278,1.281,1.823,3.365,0.663,0.316
23.014,7.393,13.809,38.81,14.332,3.555
210.514,138.593,198.786,494.637,63.753,32.384
0.097,0.064,0.108,0.707,0.015,0.007
10.838,7.64,7.876,16.038,3.507,0.765
36.41,38.306,69.68,117.225,20.249,5.1
5.499,4.457,4.847,14.173,1.718,0.407
12.678,6.441,9.909,17.885,2.535,0.684
184.324,48.432,153.109,43.526,7.35,3.939
323.385,33.933,260.189,62.092,20.603,12.663
2.629,1.166,1.752,1.964,0.38,0.198
50.211,24.723,74.036,34.192,10.04,5.106
21.701,34.487,34.484,160.965,8.35,1.728
50.636,93.513,90.43,374.318,31.3,6.262
84.645,114.073,103.588,157.88,79.667,10.686
1.482,3.239,2.429,12.891,2.64,0.302
1431.25,233.721,918.593,990.347,135.578,171.327
3194.29,9896.531,11788.117,217.761,195.477,37.299
160.34,719.459,867.302,254.309,6.844,0.886
4976.91,2788.478,2823.269,153.197,12.107,12.675
118.425,82.428,96.985,18.268,4.437,1.561
412.655,44.164,28.162,116.725,13.571,1.922
0.132,0.527,0.007,0.637,0.106,0.01
402.302,29.406,42.252,237.852,31.928,2.646
6.059,21.75,8.725,4.353,1.527,0.982
239.534,53.798,65.397,96.14,7.517,1.488
11.521,24.302,17.67,30.691,4.629,1.533
26.897,48.56,46.83,59.436,6.886,2.603
421.137,122.404,384.268,83.257,3.607,13.968
1245.889,792.556,1406.876,644.945,36.477,41.74
1253.876,247.956,775.609,250.208,27.203,42.051
20.636,15.456,26.399,21.214,2.396,1.708
138.83,42.005,82.348,72.6,14.392,4.664
75.649,19.335,78.196,63.729,3.103,20.604
11.485,1.665,11.111,4.683,0.317,2.713
0.717,0.47,0.418,1.408,0.023,0.052
0.45,0.379,0.514,1.167,0.101,0.026
2.158,0.707,1.229,0.87,0.038,0.306
15.002,11.376,13.443,22.08,2.54,5.632
15.993,4.375,9.652,5.063,0.133,3.319
46.14,12.463,47.378,24.483,2.201,10.645
1.604,2.505,3.055,5.995,0.642,0.556
4.617,11.371,9.613,37.053,2.993,0.762
51.604,80.12,54.376,167.127,27.709,8.929
26.959,47.878,40.116,108.221,20.79,5.757
16.644,43.387,41.161,47.094,13.265,4.943
10.649,7.322,5.103,22.79,3.941,2.967
4.394,9.666,7.894,34.457,3.683,0.906
11.104,30.586,27.99,93.572,14.329,3.81
44.174,33.289,35.121,57.234,17.502,3.394
1.798,2.196,1.864,3.629,1.111,0.254
8.104,32.731,19.548,39.47,9.033,2.005
33.242,41.71,32.806,84.48,25.076,5.039
23.375,24.627,11.119,47.984,6.075,0.974
785.931,370.571,898.167,280.132,37.058,23.741
1295.59,457.299,406.198,171.926,16.969,32.626
116.495,188.024,160.503,365.173,55.25,12.895
13.817,15.104,12.04,36.374,9.981,2.065
21.75,59.385,51.173,218.985,12.442,3.74
3.336,14.948,12.647,57.511,31.613,0.565
17.901,33.484,33.405,135.502,23.788,2.779
8.532,15.007,13.65,56.526,19.495,1.661
21.882,5.78,6.737,17.32,1.822,0.915
3.791,6.373,5.949,22.728,5.267,0.505
1.857,3.226,2.941,10.028,1.409,0.37
0.071,0.391,0.398,0.732,0.339,0.025
118.924,228.403,155.275,199.113,35.744,9.144
0.322,0.506,0.456,0.897,0.748,0.083
0.366,0.285,0.113,0.456,0.26,0.036
0.921,0.887,0.602,0.728,1.139,0.16
0.456,0.412,0.346,0.972,0.241,0.083
0.948,1.129,0.836,5.025,1.452,0.158
14.021,17.031,11.577,43.233,12.677,2.229
3.769,4.152,5.648,15.814,7.353,0.584
21.764,17.893,18.073,47.897,15.765,4.242
4.246,2.319,3.299,7.503,2.281,0.763
15.054,8.079,14.049,25.94,7.74,1.493
1.78,2.026,2.256,8.125,0.445,0.198
4.107,1.87,2.402,4.103,3.413,0.148
1.845,1.6,1.838,3.875,4.776,0.253
118.71,15.928,6.72,27.195,5.862,4.816
95.973,42.505,49.079,108.024,29.34,12.384
5.937,3.921,3.833,11.97,3.485,0.878
0.416,0.207,0.405,0.091,0.012,0.022
0.61,0.775,0.423,1.458,0.485,0.051
0.019,0.001,0,0.001,0.001,0
0.021,0,0,0,0,0
0,0,0,0,0,0
4.636,2.053,2.539,3.373,1.519,0.24
13.843,18.379,16.358,32.442,1.913,1.699
9.31,16.353,10.889,118.823,2.892,1.167
2.663,0.816,2.853,4.755,0.678,0.488
29.191,28.625,43.283,80.955,6.193,8.788
21.612,5.864,5.354,14.508,4.213,1.61
2.961,2.985,2.836,8.873,1.411,0.409
0.664,0.168,0.309,0.994,0.316,0.052
2.426,1.605,2.562,5.091,1.133,0.337
0.404,0.805,0.656,1.935,0.362,0.123
1.016,1.105,0.74,2.761,0.85,0.108
14.307,4.329,14.7,1.809,1.707,0.395
1.098,0.225,0.27,0.713,1.008,0.063
29.926,5.409,17.729,6.584,1.739,0.746
6.757,4.526,9.102,12.445,2.21,1.29
38.49,38.126,44.35,190.85,11.317,7.363
14.799,6.272,8.189,15.415,2.071,1.116
6.729,3.908,6.53,11.973,4.201,1.336
4.081,3.062,5.832,8.602,2.019,0.455
6.066,3.109,3.056,13.237,4.099,0.609
38.441,4.418,12.02,16.454,5.799,1.978
3.987,1.472,1.872,4.463,0.76,0.327
0.001,0.003,0.005,0.007,0.001,0.001
